intent,text
greet,hello
greet,hi
greet,hey
greet,good morning
greet,good evening
goodbye,bye
goodbye,goodbye
goodbye,see you
goodbye,see you later
thanks,thanks
thanks,thank you
thanks,thanks a lot
affirm,yes
affirm,yeah
affirm,okay
affirm,sure
deny,no
deny,no thanks
deny,not really
deny,i don't want that
hotel_search,I want a hotel
hotel_search,I need a hotel
hotel_search,Find me a hotel
hotel_search,Book a hotel
hotel_search,Show me hotels
hotel_search,Search for hotels
hotel_search,I am looking for a hotel
hotel_search,I need somewhere to stay
hotel_search,Find accommodation
hotel_search,Find lodging
hotel_search,I want a hotel in north
hotel_search,I want a hotel in the north
hotel_search,I want a hotel in south
hotel_search,I want a hotel in the south
hotel_search,I want a hotel in east
hotel_search,I want a hotel in the west
hotel_search,Show hotels in north
hotel_search,Show hotels in south
hotel_search,I want a cheap hotel
hotel_search,I need a cheap hotel
hotel_search,I want a budget hotel
hotel_search,I want an expensive hotel
hotel_search,I want a luxury hotel
hotel_search,I want a mid hotel
hotel_search,I want a cheap hotel in south
hotel_search,I want a cheap hotel in the south
hotel_search,I want a cheap hotel in north
hotel_search,I want a cheap hotel in the north
hotel_search,I want an expensive hotel in south
hotel_search,I want a luxury hotel in north
hotel_search,Find a budget hotel in south
hotel_search,Find a hotel in east
hotel_search,Show hotels in west
search_by_stars,I want a 5 star hotel
search_by_stars,Find a 3-star hotel
search_by_stars,Show me 4 star options
search_by_name,Book Hotel California
search_by_name,Find Central Rooms
search_by_name,I want to stay at the Grand
search_by_name,Search for Cozy Cottage
haunted_check,Is Hotel California haunted
haunted_check,Are there ghosts in the rooms
haunted_check,Is this hotel spooky
haunted_check,Does it have a resident ghost
haunted_check,Tell me if there are any spirits there
bot_lifestyle,Where do you sleep
bot_lifestyle,Do you stay in a 5-star server
bot_lifestyle,What's your favorite hotel
bot_lifestyle,Do you ever take a vacation
bot_lifestyle,Are you a robot or a receptionist
search_by_tourist_site,Find a hotel near the National Gallery
search_by_tourist_site,Are there hotels close to tourist spots
search_by_tourist_site,I want a room near the main attractions
search_by_tourist_site,Show places to stay near sightseeing
greet,hiya
greet,hey there
greet,good day
greet,hello there
greet,hi there
greet,greetings
greet,nice to meet you
greet,morning
greet,evening
greet,hello chatbot
greet,hello assistant
greet,hi assistant
greet,good afternoon
greet,yo
greet,hey buddy
goodbye,bye bye
goodbye,catch you later
goodbye,talk to you later
goodbye,have a nice day
goodbye,farewell
goodbye,see ya
goodbye,take care
goodbye,i am leaving
goodbye,good night
goodbye,exit
goodbye,quit
goodbye,close chat
goodbye,see you soon
goodbye,until next time
goodbye,bye for now
goodbye,have a good one
thanks,many thanks
thanks,thank you very much
thanks,appreciate it
thanks,much appreciated
thanks,thanks buddy
thanks,thanks assistant
thanks,great thanks
thanks,cheers
thanks,thank you so much
thanks,awesome thanks
thanks,thanks for your help
thanks,thanks a million
thanks,that's helpful
thanks,perfect thanks
thanks,thank you chatbot
thanks,i appreciate your help
thanks,thank you kindly
affirm,of course
affirm,absolutely
affirm,definitely
affirm,certainly
affirm,sounds good
affirm,please do
affirm,go ahead
affirm,that's right
affirm,correct
affirm,fine
affirm,ok
affirm,yep
affirm,indeed
affirm,why not
affirm,i agree
affirm,works for me
deny,never mind
deny,cancel
deny,stop
deny,incorrect
deny,absolutely not
deny,negative
deny,don't do that
deny,not now
deny,i disagree
deny,nope
deny,leave it
deny,forget it
deny,cancel that
deny,don't search
deny,no way
deny,nothing
search_by_stars,find a five star hotel
search_by_stars,show 5 star hotels
search_by_stars,show four star hotels
search_by_stars,i need a 4 star hotel
search_by_stars,book a 5 star hotel
